PlenumNET Bare Metal Baseline — BEFORE allocation fix
Date: 2026-03-14
Hardware: ARM64 (aarch64-pc-windows-msvc), NEON SIMD
Rust: 1.94.0 (2026-03-02)
Cargo: 1.94.0

Pass rate: 78/109 (72%)
PQ benchmarks: 96/109
Grand total: 201.874 ms

Benchmark                                 Median       Target PQ  Grade
-------------------------------------------------------------------------------------
tl_dsa_87_keygen                       11.678 ms        < 3ms PQ  FAIL
tl_dsa_87_sign                         17.886 ms        < 5ms PQ  FAIL
tl_dsa_87_verify                       25.071 ms        < 3ms PQ  DIAGNOSE
  ▸ TL-DSA v1 TOTAL (3)                54.635 ms              PQ  [0/3]

pt26_keygen                              7.00 µs        < 8µs PQ  Pass
pt26_sign                               10.50 µs       < 18µs PQ  Pass
pt26_verify                             15.70 µs       < 18µs PQ  Pass
pt26_verify_parallel                    10.40 µs       < 18µs PQ  Pass
pt26_trit_diff                              0 ns        < 5ns     Plenum+
pt26_step_token                             0 ns        < 5ns     Plenum+
pt26_walk_token                             0 ns        < 5ns     Plenum+
  ▸ PT26-DSA TOTAL (7)                  43.60 µs                  [7/7]

tl_dsa_v2_ntt_butterfly                     0 ns       < 20ns PQ  Plenum+
tl_dsa_v2_ntt_full                       1.20 µs        < 1µs PQ  FAIL
tl_dsa_v2_matrix_mul                    11.70 µs       < 30µs PQ  Plenum+
tl_dsa_v2_keygen                       225.50 µs      < 100µs PQ  FAIL
tl_dsa_v2_sign                          84.70 µs       < 50µs PQ  FAIL
tl_dsa_v2_verify                         4.00 µs       < 30µs PQ  Plenum+
  ▸ TL-DSA v2 TOTAL (6)                327.10 µs              PQ  [3/6]

tl_kem_512_keygen                       34.70 µs       < 50µs PQ  Pass
tl_kem_512_encaps                       13.90 µs       < 30µs PQ  Plenum+
tl_kem_512_decaps                       10.20 µs       < 30µs PQ  Plenum+
tl_kem_768_keygen                       58.30 µs       < 80µs PQ  Pass
tl_kem_768_encaps                       17.20 µs       < 50µs PQ  Plenum+
tl_kem_768_decaps                       16.70 µs       < 50µs PQ  Plenum+
tl_kem_1024_keygen                      95.80 µs      < 120µs PQ  Pass
tl_kem_1024_encaps                      23.90 µs       < 80µs PQ  Plenum+
tl_kem_1024_decaps                      21.00 µs       < 80µs PQ  Plenum+
  ▸ TL-KEM TOTAL (9)                   291.70 µs              PQ  [9/9]

tae_mac_encrypt                         34.50 µs       < 30µs PQ  *Pass
tae_mac_decrypt                         34.40 µs       < 30µs PQ  *Pass
